id;identificador;nombre;disponible;horario
1;Bermuda;XSS Savings Account;true;invoice synthesizing
2;olive connecting portal;Mouse;true;global Illinois
3;bypassing;pink RAM;true;Money Market Account synthesizing
4;Jordan;Gorgeous Soft Gloves GB solid state;true;TCP help-desk Manor
5;Credit Card Account;calculate;true;Soft Bedfordshire
6;needs-based Bahamian Dollar;Illinois Seamless Cambridgeshire;true;Home Loan Account Plastic brand
7;withdrawal synthesize;Incredible Team-oriented engineer;false;website global
8;copy application bus;models Bulgaria Plastic;true;frictionless 24/365 Indian Rupee Ngultrum
9;viral Quality Analyst;incubate attitude Analyst;false;Configuration benchmark payment
10;THX Consultant;Home Loan Account strategize;false;TCP Handmade
