id;nombre_persona;author_wa
1;out-of-the-box violet compelling;Configuration
2;Operations Handcrafted Granite Tuna payment;Steel Paradigm Operations
3;copy Secured Mississippi;Designer Montenegro
4;upward-trending;architectures online
5;Christmas Island Cambridgeshire;Unbranded
6;quantifying Proactive Steel;superstructure Tennessee payment
7;ROI Handcrafted;Algerian Dinar
8;Borders invoice drive;withdrawal
9;Central online Falkland Islands Pound;Legacy Borders
10;Centralized;systems Louisiana Pants
